German	जर्मन
Italian	इटालियन
Russian	रसियाली
English	अँग्रेजी
Chinese	चीनियाँ
Japanese	जापानी
do	गर
brother	दाजु
August	अगस्ट
before	अघि
body	शरीर
again	अझै
April	अप्रिल
Africa	अफ्रिका
America	अमेरिका
Australia	अष्ट्रेलिया
come	आउनु
eight	आठ
company	कम्पनी
black	कालो
book	पुस्तक
Canada	क्यानाडा
church	गिर्जाघर
able	चलाख
behind	चाक
China	चीन
daughter	छोरी
part	टुक्रो
down	तल
close	थुन्नु
day	दिन
days	दिन
be	देख्नु
city	नगर
after	पछि
also	पनि
base	फेद
child	बच्चा
building	भवन
may	मे
above	माथि
below	मुनि
Mexico	मेक्सिको
big	ठूलो
and	र
good	राम्रो
all	सब
each	सब
Europe	युरोप
standard	झण्डा
area	ठाउँ
December	डिसेम्बर
east	पूर्व
change	सार्नु
become	हुनु
another	बेग्लै
England	इंग्ल्याण्ड
aircraft	हवाईजहाज
bank	बैङ्क
food	खाना
mother	आमा
just	यतिखेर
India	भारत
Ireland	आयरल्याण्ड
man	मान्छे
hit	हिर्काउनु
October	अक्टोबर
first	पहिलो
high	अग्लो
long	अग्लो
now	अब
hospital	हस्पिटल
female	आइमाई
fire	आगो
half	आधा
Italy	इटाली
light	प्रकाश
he	उनी
how	कस्तो
if	कि
make	गर्नु
house	घर
four	चार
even	चेप्टो
land	जग्गा
January	जनवरी
Germany	जर्मनी
like	जस्तो
go	जानु
live	हुनु
Japan	जापान
June	जून
July	जूलाई
head	टाउको
far	टाढा
island	द्वीप
lower	तल्लो
lake	ताल
little	सानो
from	देखि
many	धेरै
more	धेरै
much	धेरै
near	नजिक
new	नयाँ
name	नाम
November	नोभेम्बर
nine	नौ
later	पछि
must	पर्नु
family	परिबार
five	पाँच
get	पाउनु
money	मुद्रा
February	फेब्रुअरी
France	फ्रान्स
father	बाबु
middle	बीच
months	महिना
human	मानिस
March	मार्च
large	मोटो
here	यहाँ
King	राजा
night	रात
finished	सखाप
music	संगीत
every	सब
gold	सुन
London	लण्डन
lead	सीसा
important	महत्वपूर्ण
hand	हात
is	हो
green	हरियो
less	अलिकति
life	चिठी
guitar	गितार
then	अनि
other	अरू
today	आज
she	उनी
season	ऋतु
one	एक
study	काम
or	कि
old	पुरानो
story	कुरा
room	कोठा
time	खेर
play	खेल्नु
song	गीत
round	गोलो
six	छ
short	छोटो
son	छोरा
people	जनता
strong	जवान
ship	जहाज
rock	ढुङ्गा
star	तारा
three	तीन
third	तेस्रो
there	त्यहाँ
that	त्यो
south	दक्षिण
run	दगुर्नु
ten	दश
see	देख्नु
show	देखाउनु
since	देखि
sound	ध्वनि
river	नदी
road	बाटो
street	बाटो
point	बिन्दु
order	भन्नु
previous	भर्खर
person	मानिस
this	यो
place	राख्नु
position	राख्नु
put	राख्नु
red	रातो
plant	बिरूवा
together	सँग
sea	सागर
seven	सात
small	सानो
second	सेकेन्ड
September	सेप्टेम्बर
Paris	पेरिस
region	ठाउँ
they	तिनीहरू
outside	बाहिर
take	लानु
school	इस्कुल
station	स्टेशन
sometimes	कहिलेकहीँ
science	बिज्ञान
water	पानी
history	इतिहास
well	ईनार
woman	आइमाई
it	उनी
where	कता
whose	कसको
when	कहिले
young	काँचो
work	काम
what	के
who	को
wide	खुकुलो
village	गाउँ
information	जानकारी
television	टेलिभिजन
you	तँ
two	दुई
very	धेरै
town	नगर
wife	पत्नी
west	पश्चिम
way	बाटो
UK	बेलायत
language	भाषा
love	माया
up	माथि
under	मुनि
death	मृत्यु
war	थियो
radio	रेडियो
year	वर्ष
years	वर्ष
world	संसार
education	शिक्षा
with	सँग
until	सम्म
white	सेतो
National	राष्ट्रिय
week	हप्ता
we	हामी
air	हावा
children	बच्चाहरू
books	पुस्तकहरू
Dutch	डच
Greek	ग्रीक
Latin	ल्याटिन
Swedish	स्विडिश
Asia	एशिया
dark	अँध्यारो
already	अघि
alone	एक्लो
corporation	कम्पनी
computer	कम्प्युटर
call	कराउनु
cricket	क्रिकेट
blood	हि
Brown	खैरो
build	गर्नु
cut	घाउ
broadcast	छर्नु
dance	नाच्नु
appear	निस्कनु
bridge	पुल
Brazil	ब्राजिल
earlier	भर्खर
earth	माटो
Russia	रूस
disease	रोग
airport	विमानस्थल
complete	सक्नु
editor	सम्पादक
damage	हानि
color	रंग
bus	बस
Georgia	जर्जिया
Creek	खोला
baseball	बेसबल
basketball	बास्केटबल
blue	निलो
letter	पत्र
God	ईश्वर
literature	साहित्य
iron	फलाम
forest	जङ्गल
face	अनुहार
girl	केटी
Israel	इजरायल
Iran	इरान
material	कपडा
firm	कम्पनी
hard	कसिलो
era	काल
hot	गर्मी
horse	घोडा
know	चिन्नु
leave	छोड्नु
fall	शरद
give	दिनु
husband	लोग्ने
meet	पाउनु
guest	पाहुना
gun	बन्दुक
ice	बरफ
marriage	बिहा
inside	भित्र
heart	हृदय
miles	माइल
metres	मिटर
friend	साथी
minute	मिनेट
minutes	मिनेट
hold	समात्नु
key	चाबी
location	ठाउँ
loss	हानि
hotel	होटेल
hill	डाँडा
mi	मध्यरात
fifth	पाँचौं
hours	घन्टा
polish	पोलिश
paper	कागज
sun	सूर्य
silver	चाँदी
quickly	छिटो
stone	ढुङ्गा
pay	तिर्नु
oil	तेल
prison	थाना
philosophy	दर्शन
sister	बहिनी
mountain	पहाड
receive	पाउनु
page	पृष्ठ
Poland	पोल्याण्ड
nature	प्रकृति
opening	प्वाल
morning	विहान
month	महिना
murder	मार्नु
store	राख्नु
peace	शान्ति
newspaper	समाचारपत्र
Spain	स्पेन
move	सार्नु
poor	बिचरा
scale	काँडो
Netherlands	नेदरल्याण्ड्स
spring	बसन्त
Scotland	स्कटल्याण्ड
wood	जङ्गल
yet	अझै
Valley	उपत्यका
cancer	कर्कट
words	कुरा
sport	खेल
towards	तिर
wing	पखेटा
tree	रूख
word	शब्द
teacher	शिक्षक
voice	स्वर
Sweden	स्वीडेन
weeks	हप्ता
winter	शिशिर
yellow	पहेंलो
fish	माछा
wall	गारो
knowledge	जान
upper	माथिल्लो
Wales	वेल्स
thought	सोचविचार
medicine	चिकित्साशास्त्र
Czech	चेक
Turkish	तुर्की
Korean	कोरियाली
animal	जनावर
Belgium	बेल्जियम
beat	हिर्काउनु
Bishop	उँट
dog	कुकुर
coal	कोइला
count	गन्नु
bird	चरा
cold	चिसो
degrees	डिग्री
boat	डुङ्गा
Denmark	डेनमार्क
door	ढोका
baby	बच्चा
die	मर्नु
bring	ल्याउनु
centuries	शताब्दी
advance	सर्नु
Argentina	अर्जेन्टिना
Austria	अष्ट्रिया
brain	गिदी
Christmas	क्रिसमस
Alabama	अलाबामा
crown	क्राउन
Iraq	इराक
mine	खानी
foot	खुट्टा
Greece	ग्रीस
glass	ग्लास
moon	चन्द्रमा
flat	चेप्टो
lot	धेरै
follow	पछ्याउनु
enter	पस्नु
feet	फुट
garden	बगैंचा
evening	बेलुका
Malaysia	मलेसिया
kill	मार्नु
mind	मुटु
Jesus	येशु
Mark	लाग्नु
enemy	शत्रु
dream	सपना
dry	सुक्नु
eye	आँखा
Egypt	इजिप्ट
Hollywood	हलिवुड
Jordan	जोर्डन
Moscow	मस्को
independence	स्वतन्त्रता
eyes	आँखाहरू
factory	फ्याक्ट्री
sky	आकाश
strike	हिर्काउनु
storm	हुरी
soul	आत्मा
simple	इमानदार
straight	इमानदार
steel	इस्पात
poetry	कविता
purchase	किन्नु
rose	गुलाफ
planet	ग्रह
roof	छाना
piece	टुक्रो
table	टेबुल
standing	ठाडो
runner	धावक
Norway	नर्वे
revolution	परिक्रमा
Pakistan	पाकिस्तान
question	प्रश्न
ring	बज्नु
talk	बोल्नु
say	भन्नु
Queen	मन्त्री
princess	राजकुमारी
quarter	सत्र
Switzerland	स्विजरल्याण्ड
spot	टीका
peak	डाँडा
Philippines	फिलिपिन्स
Singapore	सिङ्गापुर
seconds	सेकेण्ड
yard	आँगन
yards	गज
walk	जानु
tennis	टेनिस
weather	मौसम
Ukraine	युक्रेन
transfer	सार्नु
wind	हावा
Matt	म्याट
Finnish	फिनिश
Ukrainian	युक्रेनी
cat	बिरालो
Bangladesh	बङ्गलादेश
carbon	कार्बन
buy	किन्नु
drop	छिटो
bomb	बम
bear	भालु
contribution	योगदान
cinema	सिनेमा
desert	मरुभूमि
arm	पाखुरा
destruction	हानि
colour	रंग
bell	घण्टी
afterwards	त्यपछि
Afghanistan	अफगानिस्तान
democracy	लोकतन्त्र
Beijing	बेइजिङ
Caribbean	क्यारिबियन
camera	क्यामेरा
Hungary	हङ्गेरी
extremely	अत्यन्त
fly	उड्नु
eleven	एघार
but	तर पनि
film	फिल्म
10	१०
use	पनि प्रयोग
so	पनि त
party	पार्टी
local	स्थानीय
any	पनि कुनै पनि
international	अन्तर्राष्ट्रिय
own	पनि आफ्नो
million	करोड
services	सेवा
political	पनि राजनीतिक
social	र सामाजिक
wrote	लेखे
President	राष्ट्रपति
police	प्रहरी
construction	निर्माण
health	स्वास्थ्य
27	२२
50	६०
car	कार
systems	सिस्टम
committee	मन्त्रिपरिषदमा
engineering	इन्जिनियरिङ
actress	अभिनेत्री
activities	क्रियाकलापलाई
security	सुरक्षा
presented	प्रस्तुत
elections	पनि निर्वाचन
experience	अनुभव पनि
secretary	सचिव
plans	योजना
problems	पनि समस्या
increase	पनि वृद्धि
quality	पनि गुणस्तरीय
candidate	उम्मेद्वार
Parliament	सांसद
owner	सञ्चालक
poet	कवि
workers	मजदुरको
whether	कि भनेर पनि
titled	‘
percent	प्रतिशत पनि
destroyed	ध्वस्त
analysis	विश्लेषण पनि
efforts	पनि पहल
giving	पनि दिने
birth	जन्म
votes	मत
difficult	पनि कठिन
publication	प्रकाशन
opposition	मोर्चाबन्दी
vehicle	गाडी
bought	किनेको
attacks	आक्रमण
