eight	අට
act	පනත
Australia	ඕස්ට්‍රේලියාව
China	චීනය
German	ජර්මානු
black	කළු
book	පොත
Spanish	ස්පාඤ්ඤ
Africa	අප්‍රිකාව
America	ඇමරිකාව
August	අගෝස්තු
Canada	කැනඩාව
Chinese	චීන
December	දෙසැම්බර්
England	එංගලන්තය
Europe	යුරෝපය
French	ප්රංශ
Italian	ඉතාලි
Japanese	ජපන්
may	මැයි
Mexico	මෙක්සිකෝව
Russian	රුසියානු
and	සහ
army	ඇණිය
art	කලාව
back	පිට
bank	බැංකුව
big	ලොකු
body	ශරීරය
brother	මල්ලි
child	ළමයා
church	පල්ලිය
city	නගරය
close	වහනවා
come	එනවා
company	කොම්පැනිය
country	රට
cup	කෝප්පය
daughter	දුව
day	දවස
do	කරනවා
east	නැගෙනහිර
election	මැතිවරණය
engine	එන්ජිම
good	හොඳ
Irish	අයර්ලන්ත
days	දින
construction	ඉදිකිරීම
four	හතර
number	ගණන
mother	අම්මා
million	මිලියනය
five	පහ
nine	නවය
India	ඉන්දියාව
Japan	ජපානය
King	රජ
money	මුදල්
February	පෙබරවාරි
France	ප්‍රංශය
Germany	ජර්මනිය
Italy	ඉතාලිය
January	ජනවාරි
July	ජූලි
June	ජූනි
London	ලන්ඩන්
March	මාර්තු
November	නොවැම්බර්
October	ඔක්තෝබර්
much	බොහෝ
hand	අත
large	ලොකු
every	හැම
family	පවුල
father	තාත්තා
fire	ගින්න
first	පළමු
food	කෑම
force	බලය
fourth	සතරවැනි
future	ඉදිරිය
go	යනවා
gold	රන්
green	කොළ
guitar	ගිටාරය
he	ඔහු
head	ඔළුව
home	ගෙදර
hospital	රෝහල
house	ගෙය
how	කොහොමද
man	පුරුෂයා
if	නම්
important	වැදගත්
island	දිවයින
lake	විල
last	අවසාන
life	ජීවිතය
light	ආලෝකය
little	කුඩා
magazine	සඟරාව
me	මා
Museum	කෞතුකාගාරය
music	සංගීතය
my	මගේ
name	නම
network	ජාල
new	නව
next	ඊළඟ
night	රැය
no	නැ
North	උතුර
novel	නවකතාව
now	දැන්
Ireland	අයර්ලන්තය
months	මාස
law	නීතිය
middle	පිහිටි
ten	දහය
seven	හත
six	හය
three	තුන
Paris	පැරිස්
September	සැප්තැම්බර්
take	ගන්නවා
present	තෑග්ග
state	රාජ්යය
small	කුඩා
old	නාකි
one	එක
open	අරිනවා
or	හෝ
our	අපේ
park	උද්යානය
party	පක්ෂය
plant	පැළය
president	ජනාධිපති
red	රතු
river	ගඟ
road	පාර
room	කාමරය
run	දුවනවා
school	පාසල
science	විද්යාව
sea	මුහුද
second	තත්පරය
she	ඈ
ship	නැව
son	පුතා
song	ගීතය
sound	සද්දෙ
star	තරුව
station	නැවතුම්පොළ
street	මාවත
their	ඔවුන්ගේ
they	ඔවුන්
third	තුන්වැනි
this	මේ
time	කල
today	අද
seat	ආසනය
rock	ගල
season	ඍණ
two	දෙක
education	අධ්යාපනය
week	සතිය
language	භාෂාව
air	වාතය
town	නගරය
culture	සංස්කෘතිය
death	මරණය
wife	පවුල
government	රජය
it	එයා
health	සනීප
history	ඉතිහාසය
industry	උද්යෝගය
love	ආදරය
police	පොලීසිය
society	සමාජය
technology	තාක්ෂණය
television	රූපවාහිනිය
you	ඔයා
very	හරි
village	ගම
war	යුද්ධය
water	වතුර
we	අපි
west	බටහිර
what	මොකක්ද
when	කවදා
where	කෝ
white	සුදු
who	කවුද
woman	ගෑනි
world	ලෝකය
writer	ලියන්නා
year	වර්ෂය
young	තරුණ
years	වසර
books	පොත්
Asia	ආසියාව
academic	විද්වතා
Russia	රුසියාව
blood	ලේ
Berlin	බර්ලිනය
Brazil	බ්‍රසීලය
Britain	බ්රිතාන්ය
Georgia	ජෝර්ජියාව
Greek	ග්‍රීක
Latin	ලතින්
airport	ගුවන්තොට
ball	බෝලය
baseball	බේස්බෝල්
blue	නිල්
border	අද්දර
break	කඩනවා
bridge	පාලම
Brown	දුඹුරු
bus	බසය
color	වර්ණ
computer	පරිගණකය
cover	ආවරණය
dance	නටනවා
dead	මළ
defense	ආරක්ෂක
difficult	අමාරු
doctor	දොස්තර
density	ඝනත්වය
corporation	සමාගමය
Dutch	ලන්දේසි
Swedish	ස්වීඩන්
basketball	පැසිපන්දු
castle	බලකොටුව
cricket	ක්‍රිකට්
horse	අශ්වය
Iran	ඉරානය
Israel	ඊශ්‍රායලය
Korea	කොරියාව
face	මූණ
fifth	පස්වෙනි
forest	වනය
freedom	නිදහස
friend	මිතුරා
give	දෙනවා
heart	හදවත
hold	අල්ලනවා
